Loc1Key,Loc1Lat,Loc1Lon,BestCMI,BestKey,BestLat,BestLon
65656,-39.725,174.725,0.789405,27686,48.3,-4.3
65657,-39.725,174.775,0.804348,27686,48.3,-4.3
65658,-39.725,174.825,0.76936,27686,48.3,-4.3
65659,-39.725,174.875,0.7771,27686,48.3,-4.3
65660,-39.725,174.925,0.807442,27016,51.8,-4.3
65661,-39.725,174.975,0.791114,27686,48.3,-4.3
65662,-39.725,175.025,0.791231,27686,48.3,-4.3
65663,-39.725,175.075,0.805161,27686,48.3,-4.3
65664,-39.725,175.125,0.793353,27686,48.3,-4.3
65665,-39.725,175.175,0.825337,28589,53.3,-4.3
65666,-39.725,175.225,0.83701,28589,53.3,-4.3
65667,-39.725,175.275,0.822826,28589,53.3,-4.3
65668,-39.725,175.325,0.823871,27686,48.3,-4.3
65669,-39.725,175.375,0.858666,27686,48.3,-4.3
65670,-39.725,175.425,0.831865,27686,48.3,-4.3
65671,-39.725,175.475,0.837982,27686,48.3,-4.3
65672,-39.725,175.525,0.834747,27686,48.3,-4.3
65673,-39.725,175.575,0.838143,27686,48.3,-4.3
65674,-39.725,175.625,0.833138,26916,47.8,5.8
65675,-39.725,175.675,0.837619,28097,50.8,-2.3
65676,-39.725,175.725,0.853774,28097,50.8,-2.3
65677,-39.725,175.775,0.863286,28097,50.8,-2.3
65678,-39.725,175.825,0.867951,28097,50.8,-2.3
65679,-39.725,175.875,0.88667,28097,50.8,-2.3
65680,-39.725,175.925,0.873668,28097,50.8,-2.3
65681,-39.725,175.975,0.879228,26916,47.8,5.8
65682,-39.725,176.025,0.842381,27686,48.3,-4.3
65683,-39.725,176.075,0.874629,27016,51.8,-4.3
65684,-39.725,176.125,0.80839,27016,51.8,-4.3
65685,-39.725,176.175,0.81077,,,
65686,-39.725,176.225,0.802911,,,
65687,-39.725,176.275,0.755692,27016,51.8,-4.3
65688,-39.725,176.325,0.828103,27016,51.8,-4.3
65689,-39.725,176.375,0.845681,27016,51.8,-4.3
65690,-39.725,176.425,0.849227,28589,53.3,-4.3
65691,-39.725,176.475,0.837561,27686,48.3,-4.3
65692,-39.725,176.525,0.842331,26771,45.3,4.8
65693,-39.725,176.575,0.852318,28099,50.8,-2.8
65694,-39.725,176.625,0.862447,27190,47.3,-1.3
65695,-39.725,176.675,0.877423,27190,47.3,-1.3
65696,-39.725,176.725,0.89184,27190,47.3,-1.3
65697,-39.725,176.775,0.887589,27190,47.3,-1.3
65698,-39.725,176.825,0.887731,27190,47.3,-1.3
65699,-39.725,176.875,0.87964,27190,47.3,-1.3
65700,-39.725,176.925,0.854259,27190,47.3,-1.3
65701,-39.725,176.975,0.846254,27190,47.3,-1.3
65702,-39.775,174.525,0.827988,27686,48.3,-4.3
65703,-39.775,174.575,0.827025,27686,48.3,-4.3
65704,-39.775,174.625,0.823494,27686,48.3,-4.3
65705,-39.775,174.675,0.817167,27686,48.3,-4.3
65706,-39.775,174.725,0.800719,27686,48.3,-4.3
65707,-39.775,174.775,0.810847,27686,48.3,-4.3
65708,-39.775,174.825,0.803283,27686,48.3,-4.3
65709,-39.775,174.875,0.809529,27686,48.3,-4.3
65710,-39.775,174.925,0.801004,27686,48.3,-4.3
65711,-39.775,174.975,0.810069,28589,53.3,-4.3
65712,-39.775,175.025,0.810502,27686,48.3,-4.3
65713,-39.775,175.075,0.803353,27686,48.3,-4.3
65714,-39.775,175.125,0.814389,27686,48.3,-4.3
65715,-39.775,175.175,0.812079,27686,48.3,-4.3
65716,-39.775,175.225,0.811399,27686,48.3,-4.3
65717,-39.775,175.275,0.814959,27686,48.3,-4.3
65718,-39.775,175.325,0.822995,27686,48.3,-4.3
65719,-39.775,175.375,0.837287,27686,48.3,-4.3
65720,-39.775,175.425,0.844859,27686,48.3,-4.3
65721,-39.775,175.475,0.838399,27686,48.3,-4.3
65722,-39.775,175.525,0.83968,26916,47.8,5.8
65723,-39.775,175.575,0.842144,26916,47.8,5.8
65724,-39.775,175.625,0.836159,26916,47.8,5.8
65725,-39.775,175.675,0.840112,26916,47.8,5.8
65726,-39.775,175.725,0.83615,27686,48.3,-4.3
65727,-39.775,175.775,0.843741,27686,48.3,-4.3
65728,-39.775,175.825,0.83528,26916,47.8,5.8
65729,-39.775,175.875,0.847316,26916,47.8,5.8
65730,-39.775,175.925,0.859619,26916,47.8,5.8
65731,-39.775,175.975,0.853855,28097,50.8,-2.3
65732,-39.775,176.025,0.846448,27686,48.3,-4.3
65733,-39.775,176.075,0.851958,27016,51.8,-4.3
65734,-39.775,176.125,0.767111,,,
65735,-39.775,176.175,0.807294,,,
65736,-39.775,176.225,0.74775,27016,51.8,-4.3
65737,-39.775,176.275,0.784726,27016,51.8,-4.3
65738,-39.775,176.325,0.848577,27016,51.8,-4.3
65739,-39.775,176.375,0.834729,27016,51.8,-4.3
65740,-39.775,176.425,0.835654,28589,53.3,-4.3
65741,-39.775,176.475,0.833353,27686,48.3,-4.3
65742,-39.775,176.525,0.85517,28097,50.8,-2.3
65743,-39.775,176.575,0.856233,28097,50.8,-2.3
65744,-39.775,176.625,0.871167,27190,47.3,-1.3
65745,-39.775,176.675,0.88368,27190,47.3,-1.3
65746,-39.775,176.725,0.879656,27190,47.3,-1.3
65747,-39.775,176.775,0.899945,27190,47.3,-1.3
65748,-39.775,176.825,0.861042,27190,47.3,-1.3
65749,-39.775,176.875,0.825501,26771,45.3,4.8
65750,-39.775,176.925,0.857193,27686,48.3,-4.3
65751,-39.775,176.975,0.822931,28097,50.8,-2.3
65752,-39.825,174.625,0.821815,27686,48.3,-4.3
65753,-39.825,174.675,0.826476,27686,48.3,-4.3
65754,-39.825,174.725,0.825333,27686,48.3,-4.3
65755,-39.825,174.775,0.83561,27686,48.3,-4.3
65756,-39.825,174.825,0.831051,27686,48.3,-4.3
65757,-39.825,174.875,0.824399,27686,48.3,-4.3
65758,-39.825,174.925,0.819388,27686,48.3,-4.3
65759,-39.825,174.975,0.822873,27686,48.3,-4.3
65760,-39.825,175.025,0.82586,27686,48.3,-4.3
65761,-39.825,175.075,0.832224,27686,48.3,-4.3
65762,-39.825,175.125,0.811688,27686,48.3,-4.3
65763,-39.825,175.175,0.817009,27686,48.3,-4.3
65764,-39.825,175.225,0.828435,27686,48.3,-4.3
65765,-39.825,175.275,0.81022,27686,48.3,-4.3
65766,-39.825,175.325,0.838728,27686,48.3,-4.3
65767,-39.825,175.375,0.835453,27686,48.3,-4.3
65768,-39.825,175.425,0.836084,27686,48.3,-4.3
65769,-39.825,175.475,0.82433,26771,45.3,4.8
65770,-39.825,175.525,0.841451,26916,47.8,5.8
65771,-39.825,175.575,0.850552,26916,47.8,5.8
65772,-39.825,175.625,0.855708,26916,47.8,5.8
65773,-39.825,175.675,0.853037,26916,47.8,5.8
65774,-39.825,175.725,0.849288,26916,47.8,5.8
65775,-39.825,175.775,0.839306,26916,47.8,5.8
65776,-39.825,175.825,0.840354,27686,48.3,-4.3
65777,-39.825,175.875,0.849792,27686,48.3,-4.3
65778,-39.825,175.925,0.852435,27686,48.3,-4.3
65779,-39.825,175.975,0.848635,27686,48.3,-4.3
65780,-39.825,176.025,0.865849,27016,51.8,-4.3
65781,-39.825,176.075,0.75616,28417,53.8,-2.3
65782,-39.825,176.125,0.807637,,,
65783,-39.825,176.175,0.795042,,,
65784,-39.825,176.225,0.785512,27016,51.8,-4.3
65785,-39.825,176.275,0.828395,27016,51.8,-4.3
65786,-39.825,176.325,0.841991,27016,51.8,-4.3
65787,-39.825,176.375,0.837778,27686,48.3,-4.3
65788,-39.825,176.425,0.825868,27686,48.3,-4.3
65789,-39.825,176.475,0.847282,26771,45.3,4.8
65790,-39.825,176.525,0.848683,28097,50.8,-2.3
65791,-39.825,176.575,0.859649,28099,50.8,-2.8
65792,-39.825,176.625,0.877101,27190,47.3,-1.3
65793,-39.825,176.675,0.884564,27190,47.3,-1.3
65794,-39.825,176.725,0.8862,27190,47.3,-1.3
65795,-39.825,176.775,0.840665,27190,47.3,-1.3
65796,-39.825,176.825,0.826951,27686,48.3,-4.3
65797,-39.825,176.875,0.853295,27686,48.3,-4.3
65798,-39.825,176.925,0.806958,27016,51.8,-4.3
65799,-39.825,176.975,0.818442,27686,48.3,-4.3
65800,-39.875,174.875,0.807725,27686,48.3,-4.3
65801,-39.875,174.925,0.810938,27686,48.3,-4.3
65802,-39.875,174.975,0.819075,27686,48.3,-4.3
65803,-39.875,175.025,0.815267,27686,48.3,-4.3
65804,-39.875,175.075,0.80443,27686,48.3,-4.3
65805,-39.875,175.125,0.810119,27686,48.3,-4.3
65806,-39.875,175.175,0.815205,27686,48.3,-4.3
65807,-39.875,175.225,0.827351,27686,48.3,-4.3
65808,-39.875,175.275,0.813585,27686,48.3,-4.3
65809,-39.875,175.325,0.817003,27686,48.3,-4.3
65810,-39.875,175.375,0.830152,27686,48.3,-4.3
65811,-39.875,175.425,0.826109,27686,48.3,-4.3
65812,-39.875,175.475,0.818988,27686,48.3,-4.3
65813,-39.875,175.525,0.832875,26916,47.8,5.8
65814,-39.875,175.575,0.846515,26916,47.8,5.8
65815,-39.875,175.625,0.852323,26916,47.8,5.8
65816,-39.875,175.675,0.844993,26916,47.8,5.8
65817,-39.875,175.725,0.843828,26771,45.3,4.8
65818,-39.875,175.775,0.851538,26916,47.8,5.8
65819,-39.875,175.825,0.842724,27686,48.3,-4.3
65820,-39.875,175.875,0.849876,27686,48.3,-4.3
65821,-39.875,175.925,0.839059,27686,48.3,-4.3
65822,-39.875,175.975,0.850807,28589,53.3,-4.3
65823,-39.875,176.025,0.837902,27016,51.8,-4.3
65824,-39.875,176.075,0.797519,,,
65825,-39.875,176.125,0.806373,,,
65826,-39.875,176.175,0.790322,,,
65827,-39.875,176.225,0.785007,27016,51.8,-4.3
65828,-39.875,176.275,0.855904,27016,51.8,-4.3
65829,-39.875,176.325,0.843806,27686,48.3,-4.3
65830,-39.875,176.375,0.832249,26771,45.3,4.8
65831,-39.875,176.425,0.849652,26771,45.3,4.8
65832,-39.875,176.475,0.840891,28099,50.8,-2.8
65833,-39.875,176.525,0.855865,28099,50.8,-2.8
65834,-39.875,176.575,0.869051,27190,47.3,-1.3
65835,-39.875,176.625,0.879819,27190,47.3,-1.3
65836,-39.875,176.675,0.881199,27190,47.3,-1.3
65837,-39.875,176.725,0.852451,27190,47.3,-1.3
65838,-39.875,176.775,0.844279,27686,48.3,-4.3
65839,-39.875,176.825,0.847383,27686,48.3,-4.3
65840,-39.875,176.875,0.809419,27016,51.8,-4.3
65841,-39.875,176.925,0.793386,27016,51.8,-4.3
65842,-39.875,176.975,0.850854,27686,48.3,-4.3
65843,-39.925,174.975,0.814298,26771,45.3,4.8
65844,-39.925,175.025,0.822151,26771,45.3,4.8
65845,-39.925,175.075,0.818403,26771,45.3,4.8
65846,-39.925,175.125,0.827388,26771,45.3,4.8
65847,-39.925,175.175,0.822152,26771,45.3,4.8
65848,-39.925,175.225,0.828958,26771,45.3,4.8
65849,-39.925,175.275,0.823111,26771,45.3,4.8
